TIMESTEP,SID1003MEAN(mm),SID1003MINIMUM(mm),SID1003MAXIMUM(mm),SID1003VARIANCE(mm^2),SID1003STD_DEV(mm),SID1003SUM,SID1003COUNT
1914-01-01T00:00:00Z,362.90652,0,957.2,46892.99,216.5479,10038.188,10571
1914-02-01T00:00:00Z,12.3725195,0,215.40001,805.6221,28.383482,10038.188,10571
1914-03-01T00:00:00Z,34.407333,0,546.3,7364.7017,85.81784,10038.188,10571
1914-04-01T00:00:00Z,14.462284,0,737.3,3783.7415,61.512123,10038.188,10571
1914-05-01T00:00:00Z,0.7145932,0,510.9,231.24368,15.206698,10038.188,10571
1914-06-01T00:00:00Z,0,0,0,0,0,10038.188,10571
1914-07-01T00:00:00Z,0,0,0,0,0,10038.188,10571
1914-08-01T00:00:00Z,0,0,0,0,0,10038.188,10571
1914-09-01T00:00:00Z,6.9494004,0,254.40001,575.3801,23.987082,10038.188,10571
1914-10-01T00:00:00Z,6.400373,0,267.2,421.65002,20.534119,10038.188,10571
1914-11-01T00:00:00Z,8.610945,0,261.1,554.34143,23.544456,10038.188,10571
1914-12-01T00:00:00Z,25.511587,0,240.40001,1694.1416,41.15995,10038.188,10571
1915-01-01T00:00:00Z,75.835785,0,304.80002,5030.2744,70.92443,10038.188,10571
1915-02-01T00:00:00Z,238.34471,0,732.7,28633.018,169.21294,10038.188,10571
1915-03-01T00:00:00Z,19.080257,0,367.4,3301.0718,57.454956,10038.188,10571
1915-04-01T00:00:00Z,10.779128,0,625.4,3360.8325,57.972687,10038.188,10571
1915-05-01T00:00:00Z,1.736926,0,627.4,761.37885,27.593094,10038.188,10571
1915-06-01T00:00:00Z,0,0,0,0,0,10038.188,10571
1915-07-01T00:00:00Z,0,0,0,0,0,10038.188,10571
1915-08-01T00:00:00Z,0,0,0,0,0,10038.188,10571
1915-09-01T00:00:00Z,0,0,0,0,0,10038.188,10571
1915-10-01T00:00:00Z,0,0,0,0,0,10038.188,10571
1915-11-01T00:00:00Z,142.84798,0,742.3,21253.691,145.78645,10038.188,10571
1915-12-01T00:00:00Z,41.88651,0,302.9,2965.9722,54.46074,10038.188,10571
1916-01-01T00:00:00Z,47.14274,0,291.1,3585.2632,59.877068,10038.188,10571
1916-02-01T00:00:00Z,167.9762,0,488.4,14800.264,121.656334,10038.188,10571
1916-03-01T00:00:00Z,175.0944,0,788.9,30069.777,173.40639,10038.188,10571
1916-04-01T00:00:00Z,17.745176,0,600,5363.0776,73.23304,10038.188,10571
1916-05-01T00:00:00Z,4.0673666,0,827.8,1902.0854,43.612904,10038.188,10571
1916-06-01T00:00:00Z,0.03268189,0,127,3.5197575,1.8761016,10038.188,10571
1916-07-01T00:00:00Z,0,0,0,0,0,10038.188,10571
1916-08-01T00:00:00Z,0,0,0,0,0,10038.188,10571
1916-09-01T00:00:00Z,0,0,0,0,0,10038.188,10571
1916-10-01T00:00:00Z,0,0,0,0,0,10038.188,10571
1916-11-01T00:00:00Z,15.610009,0,232.3,1211.0228,34.799755,10038.188,10571
1916-12-01T00:00:00Z,12.171888,0,177.3,697.02045,26.401146,10038.188,10571
1917-01-01T00:00:00Z,2.682486,0,147,170.93454,13.074194,10038.188,10571
1917-02-01T00:00:00Z,21.672092,0,200.1,1165.6615,34.141785,10038.188,10571
1917-03-01T00:00:00Z,79.524055,0,440,8559.165,92.515755,10038.188,10571
1917-04-01T00:00:00Z,61.198967,0,723.9,19002.654,137.85011,10038.188,10571
1917-05-01T00:00:00Z,12.954299,0,897.60004,5752.1953,75.84323,10038.188,10571
1917-06-01T00:00:00Z,0.5317527,0,505.2,163.96004,12.8046875,10038.188,10571
1917-07-01T00:00:00Z,0,0,0,0,0,10038.188,10571
1917-08-01T00:00:00Z,0,0,0,0,0,10038.188,10571
1917-09-01T00:00:00Z,0,0,0,0,0,10038.188,10571
1917-10-01T00:00:00Z,0,0,0,0,0,10038.188,10571
1917-11-01T00:00:00Z,55.180202,0,395,5697.1943,75.47976,10038.188,10571
